objectid,filename,title,format,subject,location,color,stone_type,chakra_alignment,zodiac_association,latitude,longitude
item_001,Citrine.jpg,Citrine,image/jpeg,Dreams; Joy; Creativity; Inspiration; Abundance; Protection,"Bloomington, Indiana",Yellow,Raw crystal,Third Eye; Solar Plexus; Sacral; Root,Aries; Gemini; Leo; Libra,39.16638307,-86.53009513
item_002,Carnelian.jpg,Carnelian,image/jpeg,Courage; Confidence; Grounding; Passion; Sexuality; Power,"Charleston, South Carolina",Red,Raw crystal,Solar Plexus; Sacral; Root,Taurus; Cancer; Leo; Virgo,32.78465584,-79.9311305
item_003,Opalite.jpg,Opalite,image/jpeg,Balance; Healing; Confidence; Self-Love,"Bloomington, Indiana",Blue; Yellow; Green; Purple,Tumbled stone,Crown; Third Eye,Cancer; Libra; Scorpio; Pisces; Taurus,39.16638307,-86.53009513
item_004,Zebra_jasper.jpg,Zebra Jasper,image/jpeg,Transformation; Balance; New Beginnings; Intuition; Grounding,"Louisville, Kentucky",White; Black,Tumbled stone,Root,Libra,38.28099233,-85.70256771
item_005,Rhodonite.jpg,Rhodonite,image/jpeg,Clearing Negative Energy; Physical Healing; Empathy; Stress Relief,"Louisville, Kentucky",Pink; Black,Tumbled stone,Heart; Root,Taurus; Sagittarius; Leo,38.28099233,-85.70256771
item_006,Infinite.jpg,Infinite,image/jpeg,Soothing; Physical Healing; Cleansing; Dreams; Compassion,"New Albany, Indiana",Grey; Blue; Green; Brown,Tumbled stone,Heart; Solar Plexus; Sacral; Root,Gemini,38.31407381,-85.8060846
item_007,Lapis_Lazuli.jpg,Lapis Lazuli,image/jpeg,Meditation; Inspiration; Clarity; Truth; Ascension; Lucid Dreaming,"Louisville, Kentucky",Blue,Tumbled stone,Third Eye; Throat,Sagittarius; Aquarius; Pisces,38.28099233,-85.70256771
item_008,Peach_moonstone.jpg,Peach Moonstone,image/jpeg,Motivation; Opportunities; Wisdom; Truth; Self-Love; Nurturing,"Louisville, Kentucky",Orange,Tumbled stone,Crown; Thrid Eye; Heart; Solar Plexus,Scorpio; Libra; Cancer,38.28099233,-85.70256771
item_009,Dragonstone.jpg,Dragonstone,image/jpeg,Communication; Manifestation; Opportunities; Power; Confidence,"Louisville, Kentucky",Red; Green,Tumbled stone,Throat; Heart; Solar Plexus; Sacral,Gemini; Sagittarius,38.28099233,-85.70256771
item_010,Moss_agate.jpg,Moss Agate,image/jpeg,New Beginnings; Resolution; Relaxation; Enlightenment; Nurturing,"Louisville, Kentucky",Green,Tumbled stone,Heart; Root,Virgo ,38.28099233,-85.70256771
item_011,Amethyst.jpg,Amethyst,image/jpeg,Anxiety Relief; Sleep; Wisdom; Focus; Self-Discipline; Clairvoyance,Evansville; Indiana,Purple,Tumbled stone,Crown; Third Eye,Virgo; Sagittarius; Capricorn; Aquarius; Pisces,38.18046357,-87.52776469
item_012,Orange_Selenite.jpg,Orange Selenite,image/jpeg,"Cleansing; Energy Transfer; Consciousness, Purification; Intuition","Charleston, South Carolina",Orange,Tumbled heart,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Pisces; Cancer; Gemini,32.78465584,-79.9311305
item_013,Rose_quartz.jpg,Rose Quartz,image/jpeg,Love and Relationships; Soothing; Self-Love; Empathy; Joy,"Seattle, Washington",Pink,Tumbled stone,Heart,Taurus; Libra; Scorpio,47.60973417,-122.3417905
item_014,Clear_quartz.jpg,Clear Quartz (Raw),image/jpeg,Meditation; Clearing; Enhancing; Expanded Awareness; Protection,"Charleston, South Carolina",Clear,Raw crystal,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Aries; Taurus; Gemini; Cancer; Leo; Virgo; Libra; Scorpio; Sagittarius; Capricorn; Aquarius; Pisces,32.78465584,-79.9311305
item_015,Red_Jasper.jpg,Red Jasper,image/jpeg,Organization; Motivation; Courage; Relaxation; Peace; Power; Trust,"Evansville, Indiana",Red,Tumbled stone,Sacral; Root,Scorpio; Libra,38.18046357,-87.52776469
item_016,Malachite.jpg,Malachite,image/jpeg,Transformation; Confidence; Prosperity; Leadership; Cleansing,"New Albany, Indiana",Green,Tower,Heart; Solar Plexus,Scorpio; Capricorn,38.31407381,-85.8060846
item_017,Tigers_Eye.jpg,Tiger's Eye,image/jpeg,Strength; Creativity; Protection; Prosperity; Longevity; Luck,"Indianapolis, Indiana",Brown; Yellow; Gold,Tumbled stone,Solar Plexus; Sacral; Root,Leo; Capricorn,39.74016401,-86.13964952
item_018,Aventurine.jpg,Green Aventurine,image/jpeg,Joy; Strength; Balance; Abundance; Luck,"Evansville, Indiana",Green,Tumbled stone,Heart,Leo; Aries,38.18046357,-87.52776469
item_019,Clear_quartz_tumbled.jpg,Clear Quartz (Tumbled),image/jpeg,Meditation; Clearing; Enhancing; Expanded Awareness; Protection,"Evansville, Indiana",Clear,Tumbled stone,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Aries; Taurus; Gemini; Cancer; Leo; Virgo; Libra; Scorpio; Sagittarius; Capricorn; Aquarius; Pisces,38.18046357,-87.52776469
item_020,Moonstone.jpg,Moonstone,image/jpeg,Generosity; Dreams; Intuition; Nourishing and Rejuvination; Fertility; Empathy,"Evansville, Indiana",White,Tumbled stone,Crown; Third Eye,Cancer; Libra; Scorpio,38.18046357,-87.52776469
item_021,Sodalite.jpg,Sodalite,image/jpeg,Communication; Psychic Abilities; Intuition; Truth; Meditation,"Evansville, Indiana",Blue; White,Tumbled stone,Third Eye; Throat,Sagittarius,38.18046357,-87.52776469
item_022,Aquamarine.jpg,Aquamarine,image/jpeg,Inspiration; Calming and Patience; Expanded Awareness; Inner Peace,"Louisville, Kentucky",Light Blue; Green,Tumbled stone,Throat; Heart,Aries; Gemini; Pisces,38.28099233,-85.70256771
item_023,Larimar.jpg,Larimar,image/jpeg,Resolution; New Beginnings; Self-Discipline; Purpose; Knowledge,"Bloomington, Indiana",Light Blue; Blue; Brown,Tumbled stone,Throat,Leo,39.16638307,-86.53009513
item_024,Orange_Calcite.jpg,Orange Calcite,image/jpeg,Meditation; Fertility; Sexuality; Confidence; Energy Transfer,"Bloomington, Indiana",Orange; Yellow,Tumbled stone,Solar Plexus; Sacral ,Cancer,39.16638307,-86.53009513
item_025,Blue_Tourmaline.jpg,Blue Tourmaline,image/jpeg,Insight; Lucid Dreaming; Inner Peace; Intuition; Joy,"Bloomington, Indiana",Blue,Tumbled stone,Third Eye; Throat,Taurus; Libra; Scorpio,39.16638307,-86.53009513
item_026,Blue_Kyanite.jpg,Blue Kyanite,image/jpeg,Relaxation; Sleep; Dreams; Intuition; Calming,"Louisville, Kentucky",Blue; Black,Tumbled stone,Third Eye; Throat,Gemini; Pisces,38.28099233,-85.70256771
