objectid,filename,title,format,subject,location,color,stone_type,chakra_alignment,zodiac_association
item_001,Citrine.jpg,Citrine,image/jpeg,Dreams; Joy; Creativity; Inspiration; Abundance; Protection,"Bloomington, Indiana",Yellow,Raw crystal,Third Eye; Solar Plexus; Sacral; Root,Aries; Gemini; Leo; Libra
item_002,Carnelian.jpg,Carnelian,Image/JPEG,Courage; Confidence; Grounding; Passion; Sexuality; Power,"Charleston, South Carolina",Red,Raw crystal,Solar Plexus; Sacral; Root,Taurus; Cancer; Leo; Virgo
item_003,Opalite.jpg,Opalite,Image/JPEG,Balance; Healing; Confidence; Self-Love,"Bloomington, Indiana",Blue; Yellow; Green; Purple,Tumbled stone,Crown; Third Eye,Cancer; Libra; Scorpio; Pisces; Taurus
item_004,Zebra_jasper.jpg,Zebra Jasper,Image/JPEG,Transformation; Balance; New Beginnings; Intuition; Grounding,"Louisville, Kentucky",White; Black,Tumbled stone,Root,Libra
item_005,Rhodonite.jpg,Rhodonite,Image/JPEG,Clearing Negative Energy; Physical Healing; Empathy; Stress Relief,"Louisville, Kentucky",Pink; Black,Tumbled stone,Heart; Root,Taurus; Sagittarius; Leo
item_006,Infinite.jpg,Infinite,Image/JPEG,Soothing; Physical Healing; Cleansing; Dreams; Compassion,"New Albany, Indiana",Grey; Blue; Green; Brown,Tumbled stone,Heart; Solar Plexus; Sacral; Root,Gemini
item_007,Lapis_Lazuli.jpg,Lapis Lazuli,Image/JPEG,Meditation; Inspiration; Clarity; Truth; Ascension; Lucid Dreaming,"Louisville, Kentucky",Blue,Tumbled stone,Third Eye; Throat,Sagittarius; Aquarius; Pisces
item_008,Peach_moonstone.jpg,Peach Moonstone,Image/JPEG,Motivation; Opportunities; Wisdom; Truth; Self-Love; Nurturing,"Louisville, Kentucky",Orange,Tumbled stone,Crown; Thrid Eye; Heart; Solar Plexus,Scorpio; Libra; Cancer
item_009,Dragonstone.jpg,Dragonstone,Image/JPEG,Communication; Manifestation; Opportunities; Power; Confidence,"Louisville, Kentucky",Red; Green,Tumbled stone,Throat; Heart; Solar Plexus; Sacral,Gemini; Sagittarius
item_010,Moss_agate.jpg,Moss Agate,Image/JPEG,New Beginnings; Resolution; Relaxation; Enlightenment; Nurturing,"Louisville, Kentucky",Green,Tumbled stone,Heart; Root,Virgo 
